Status,Name,Topic,Completed,URL,Subcategory,Time:,Thumbnail,Date
Not yet watched,How to do skidded 360s,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.instagram.com/alpine_ski_tutorials/reel/CzmADsSIgh4/,Intermediate skiing,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Skidded_360s.png,
Already watched,Don't turn with your upper body,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.instagram.com/alpine_ski_tutorials/reel/DDhgYy3KqqN/,Common skiing mistakes,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/dont_turn_with_upper_body.jpeg,
Not yet watched,Grocery store competitive tactic,Business models that thrive (https://www.notion.so/Business-models-that-thrive-182ddbcd8a1080eaa4e2ed1698ba7aa1?pvs=21),,https://www.tiktok.com/t/ZP8F8aA6h/,,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-26_at_8.58.52_PM.png,
Not yet watched,"On very steep slopes, jump turns can be beneficial",Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.instagram.com/alpine_ski_tutorials/reel/DDUnxWsoSIA/,Intermediate skiing,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/steep_skiing.jpeg,
Not yet watched,Ski posture explained,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.instagram.com/alpine_ski_tutorials/reel/Czf-19-IhBO/,Skiing basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/How_to_do_moguls.png,
Not yet watched,Your weight should be roughly perpendicular to the skis,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.instagram.com/alpine_ski_tutorials/reel/DD1Mv2yo1s-/,Skiing basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/The_most_overlooked.png,
Not yet watched,"Use ""themes"" instead of New Years Resolutions",Life hacks (https://www.notion.so/Life-hacks-172ddbcd8a1081fbaca3de56a783890b?pvs=21),,https://www.youtube.com/watch?v=NVGuFdX5guE&list=WL&index=23,,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-30_at_9.34.48_PM.png,
Not yet watched,Putting skis on on a slope,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.instagram.com/alpine_ski_tutorials/reel/Cz3xHm3oNtj/,Skiing basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Putting_on_skis_on_a_slope.png,
Not yet watched,Don't lean inwards when turning,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.instagram.com/alpine_ski_tutorials/reel/DAqC-qGoLM3/,Skiing basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Dont_lean_inwards_when_turning.png,
Not yet watched,Use falling leaf side-slipping to get down any slope,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.instagram.com/alpine_ski_tutorials/reel/DEIU2fNo3BC/,Skiing basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Falling_leaf_side-slipping_-_refine_this_skill_to_be_able_to_get_down_anything_in_control..png,
Not yet watched,Ski posture for beginners,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.instagram.com/alpine_ski_tutorials/reel/C0jpVuxo94t/,Skiing basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Ski_posture_for_begininers.png,
Not yet watched,Don’t chase happiness. Become antifragile,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://www.youtube.com/watch?v=e-or_D-qNqM,Understanding human nature,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-02-01_at_11.01.38_AM.png,
Not yet watched,Push your shin against your shoes,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.tiktok.com/t/ZP8F5JLWo/,Common skiing mistakes,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-30_at_9.44.03_PM.png,
Not yet watched,Penguins sleep 1000 times a day,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://www.tiktok.com/t/ZP8FPwRwC/,The animal kingdom,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-30_at_9.42.09_PM.png,
Not yet watched,What is actually microwaveable safe,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://www.instagram.com/share/BANltIrGH7,The physical world,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-02-01_at_11.10.52_AM.png,
Not yet watched,"On moguls, turn on the crest",Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.instagram.com/alpine_ski_tutorials/reel/C3VpbYWI7LW/,Intermediate skiing,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Mogul_Skiing_Tactics.png,
Not yet watched,What it’s like in our brain,Learn about having ADHD (https://www.notion.so/Learn-about-having-ADHD-172ddbcd8a108142bfd7edcfc9785993?pvs=21),,https://www.tiktok.com/@olivialutfallah/video/7345919753778629893?q=adhd%20simulator&t=1738302424558,ADHD basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-30_at_9.46.35_PM.png,
Not yet watched,Physcopaths,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://youtube.com/shorts/vaAMksnT5CM?si=ELyv1mqkc-rzp3O4,Understanding human nature,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-02-01_at_11.02.17_AM.png,
Not yet watched,Simpson’s paradox,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://youtube.com/watch?v=ebEkn-BiW5k&si=fq67-LeQ6I8VeUO2,How data works,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-02-01_at_11.03.08_AM.png,
Not yet watched,The terrifying truth about why pools smell the way they do,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://www.instagram.com/share/BADyRrzE6f,The physical world,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-02-01_at_11.05.38_AM.png,
Not yet watched,How to ask really good questions,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://www.instagram.com/share/_pvsaqQgd,Understanding human nature,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-02-01_at_11.09.12_AM.png,
Not yet watched,Metal in microwaves,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://www.tiktok.com/@hankgreen1/video/6898825985408453889,The physical world,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-26_at_8.51.33_PM.png,
Not yet watched,Instant water freezing,Life hacks (https://www.notion.so/Life-hacks-172ddbcd8a1081fbaca3de56a783890b?pvs=21),,https://www.tiktok.com/@mrs.b.tv/video/6907695819399384325,,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-30_at_9.26.31_PM.png,
Not yet watched,How do oysters create pearls,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://www.tiktok.com/@oddanimalspecimens/video/7398200303864007979,The animal kingdom,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-26_at_9.05.50_PM.png,
Not yet watched,Phycology Hacks,Life hacks (https://www.notion.so/Life-hacks-172ddbcd8a1081fbaca3de56a783890b?pvs=21),,https://www.tiktok.com/@adoriandeck/video/7148569466639502638,,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-30_at_9.33.17_PM.png,
Not yet watched,ADHD Burnout,Learn about having ADHD (https://www.notion.so/Learn-about-having-ADHD-172ddbcd8a108142bfd7edcfc9785993?pvs=21),,https://www.tiktok.com/@adhd_chatter_podcast/video/7307264232079248673,ADHD basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-21_at_6.00.07_AM.png,
Not yet watched,How to make paper,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://www.tiktok.com/@chemteacherphil/video/7002029258784673029,The physical world,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-26_at_8.54.16_PM.png,
Not yet watched,How to stop arguing with your ADHD partner in 10 seconds,Learn about having ADHD (https://www.notion.so/Learn-about-having-ADHD-172ddbcd8a108142bfd7edcfc9785993?pvs=21),,https://www.tiktok.com/@adhd_chatter_podcast/video/7350007424851512608?,Taking action,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-26_at_8.45.13_PM.png,
Not yet watched,How candles work,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://www.tiktok.com/@chemteacherphil/video/7450919992750656814,The physical world,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-26_at_8.52.59_PM.png,
Not yet watched,Rent the runway - good or bad business?,Business models that thrive (https://www.notion.so/Business-models-that-thrive-182ddbcd8a1080eaa4e2ed1698ba7aa1?pvs=21),,https://www.tiktok.com/@opinionsnotadvice/video/7023366243696725253,,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-26_at_8.56.49_PM.png,
Not yet watched,Puffer fish simping,How the world works (https://www.notion.so/How-the-world-works-182ddbcd8a10808fb7acd9448a6f01cd?pvs=21),,https://www.tiktok.com/@discovery/video/6856034097190522118,The animal kingdom,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-26_at_8.48.50_PM.png,
Already watched,Dyscalculia,Learn about having ADHD (https://www.notion.so/Learn-about-having-ADHD-172ddbcd8a108142bfd7edcfc9785993?pvs=21),,https://www.tiktok.com/@adhd_chatter_podcast/video/7298306790146559265,ADHD basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-21_at_5.57.27_AM.png,
Not yet watched,Things you never knew the purpose of,Life hacks (https://www.notion.so/Life-hacks-172ddbcd8a1081fbaca3de56a783890b?pvs=21),,https://www.tiktok.com/@adoriandeck/video/7199755661826362670,,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-30_at_9.31.11_PM.png,
Not yet watched,Making instant ice experiment,Life hacks (https://www.notion.so/Life-hacks-172ddbcd8a1081fbaca3de56a783890b?pvs=21),,https://www.tiktok.com/@discovery/video/6863102583846751494,,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-30_at_9.28.34_PM.png,
Not yet watched,Why some people have dimples,,,https://www.tiktok.com/@instituteofhumananatomy/video/6857118938124258566,,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-26_at_8.50.28_PM.png,
